,loc_inicio,loc_fim,multip_g,numero_passos,variacao_altura
210,"[15, 22]","[4, 11]",0.4,35.0,-3.0
211,"[11, 21]","[26, 10]",0.4,21.0,-13.0
212,"[15, 0]","[10, 29]",0.4,57.0,-14.0
213,"[23, 9]","[26, 6]",0.4,3.0,-10.0
214,"[24, 9]","[23, 5]",0.4,8.0,3.0
215,"[27, 2]","[15, 16]",0.4,111.0,-16.0
216,"[9, 18]","[13, 27]",0.4,42.0,1.0
217,"[20, 26]","[1, 17]",0.4,29.0,0.0
218,"[29, 29]","[23, 12]",0.4,26.0,0.0
219,"[1, 9]","[11, 21]",0.4,23.0,11.0
220,"[2, 20]","[15, 3]",0.4,30.0,-6.0
221,"[10, 8]","[18, 0]",0.4,16.0,-4.0
222,"[27, 0]","[17, 19]",0.4,,
223,"[22, 29]","[2, 15]",0.4,40.0,-4.0
224,"[0, 10]","[10, 2]",0.4,16.0,14.0
225,"[1, 23]","[12, 25]",0.4,22.0,11.0
226,"[27, 14]","[12, 25]",0.4,38.0,2.0
227,"[22, 14]","[8, 27]",0.4,48.0,10.0
228,"[24, 28]","[6, 7]",0.4,49.0,7.0
229,"[18, 10]","[21, 1]",0.4,34.0,-13.0
230,"[7, 28]","[22, 22]",0.4,40.0,10.0
231,"[4, 1]","[12, 23]",0.4,41.0,11.0
232,"[29, 9]","[20, 11]",0.4,32.0,-2.0
233,"[5, 18]","[14, 12]",0.4,18.0,5.0
234,"[28, 28]","[10, 15]",0.4,56.0,-9.0
235,"[19, 4]","[2, 3]",0.4,108.0,-3.0
236,"[14, 5]","[6, 26]",0.4,32.0,13.0
237,"[17, 21]","[6, 6]",0.4,32.0,-12.0
238,"[15, 2]","[14, 15]",0.4,65.0,-9.0
239,"[28, 13]","[16, 5]",0.4,26.0,-5.0
240,"[28, 13]","[10, 7]",0.4,29.0,-13.0
241,"[26, 6]","[5, 0]",0.4,37.0,11.0
242,"[18, 24]","[26, 1]",0.4,34.0,-2.0
243,"[17, 3]","[1, 17]",0.4,34.0,9.0
244,"[21, 9]","[22, 16]",0.4,17.0,-12.0
245,"[15, 5]","[27, 1]",0.4,17.0,17.0
246,"[5, 28]","[6, 28]",0.4,1.0,3.0
247,"[6, 5]","[25, 18]",0.4,36.0,7.0
248,"[24, 14]","[19, 29]",0.4,23.0,2.0
249,"[22, 18]","[27, 20]",0.4,7.0,4.0
250,"[6, 10]","[8, 1]",0.5,32.0,-6.0
251,"[19, 15]","[8, 12]",0.5,18.0,-8.0
252,"[9, 10]","[10, 4]",0.5,9.0,-10.0
253,"[24, 18]","[24, 11]",0.5,7.0,3.0
254,"[28, 1]","[21, 20]",0.5,29.0,6.0
255,"[3, 19]","[2, 25]",0.5,7.0,-18.0
256,"[10, 24]","[3, 25]",0.5,18.0,0.0
